"","VALP","BLD_label","BDSP","JWMNP","JWTR_label"
"36",650000,"One-family house detached",3,9,"Car, truck, or van"
"37",650000,"One-family house detached",3,65,"Subway or elevated"
"38",350000,"One-family house detached",3,30,"Car, truck, or van"
"39",350000,"One-family house detached",3,20,"Car, truck, or van"
"40",5e+05,"One-family house detached",4,45,"Railroad"
"41",140000,"One-family house detached",3,50,"Car, truck, or van"
"42",140000,"One-family house detached",3,45,"Car, truck, or van"
"43",450000,"One-family house detached",4,60,"Car, truck, or van"
"44",450000,"One-family house detached",4,20,"Car, truck, or van"
"45",3e+05,"One-family house detached",2,35,"Car, truck, or van"
"46",3e+05,"One-family house detached",2,45,"Car, truck, or van"
"47",320000,"One-family house detached",4,35,"Car, truck, or van"
"48",480000,"One-family house detached",3,20,"Car, truck, or van"
"49",5e+05,"One-family house detached",4,60,"Car, truck, or van"
"50",5e+05,"One-family house detached",4,45,"Car, truck, or van"
"51",225000,"One-family house detached",4,20,"Car, truck, or van"
"52",330000,"One-family house detached",3,20,"Car, truck, or van"
"53",330000,"One-family house detached",3,15,"Car, truck, or van"
"54",180000,"50 or more apartments",1,48,"Car, truck, or van"
"55",280000,"One-family house attached",3,30,"Car, truck, or van"
"56",950000,"One-family house detached",4,45,"Car, truck, or van"
"57",950000,"One-family house detached",4,20,"Car, truck, or van"
"58",230000,"One-family house detached",3,10,"Car, truck, or van"
"59",230000,"One-family house detached",3,20,"Car, truck, or van"
"60",230000,"One-family house detached",3,20,"Car, truck, or van"
"61",160000,"One-family house detached",3,40,"Car, truck, or van"
"62",160000,"One-family house detached",3,40,"Car, truck, or van"
"63",350000,"One-family house detached",3,30,"Car, truck, or van"
"64",3e+05,"3-4 Apartments",2,60,"Car, truck, or van"
"65",525000,"One-family house detached",4,45,"Car, truck, or van"
"66",525000,"One-family house detached",4,75,"Car, truck, or van"
"67",1500000,"One-family house detached",3,15,"Car, truck, or van"
"68",1300000,"One-family house detached",4,45,"Car, truck, or van"
"69",1300000,"One-family house detached",4,40,"Car, truck, or van"
"70",580000,"One-family house detached",4,12,"Car, truck, or van"
"71",4e+05,"One-family house detached",2,20,"Car, truck, or van"
"72",4e+05,"One-family house detached",2,90,"Bus or trolley bus"
"73",4e+05,"One-family house detached",2,144,"Bus or trolley bus"
"74",501000,"One-family house detached",4,60,"Car, truck, or van"
"75",350000,"50 or more apartments",1,50,"Bus or trolley bus"
"76",279000,"One-family house detached",4,10,"Car, truck, or van"
"77",7e+05,"One-family house detached",5,90,"Railroad"
"78",7e+05,"One-family house detached",5,90,"Railroad"
"79",5e+05,"One-family house detached",4,30,"Car, truck, or van"
"80",1200000,"One-family house detached",4,60,"Car, truck, or van"
"81",1200000,"One-family house detached",4,60,"Car, truck, or van"
"82",875000,"One-family house detached",4,50,"Car, truck, or van"
"83",875000,"One-family house detached",4,75,"Car, truck, or van"
"84",450000,"One-family house detached",5,10,"Car, truck, or van"
"85",450000,"One-family house detached",5,40,"Car, truck, or van"
"86",2e+05,"One-family house detached",2,5,"Car, truck, or van"
"87",2e+05,"One-family house detached",2,45,"Car, truck, or van"
"88",2e+05,"One-family house detached",2,10,"Car, truck, or van"
"89",650000,"One-family house detached",4,10,"Car, truck, or van"
"90",650000,"One-family house detached",4,10,"Car, truck, or van"
"91",5e+05,"One-family house detached",4,60,"Car, truck, or van"
"92",5e+05,"One-family house detached",4,45,"Car, truck, or van"
"93",4e+05,"One-family house detached",3,20,"Car, truck, or van"
"94",185000,"One-family house detached",2,30,"Car, truck, or van"
"95",3e+05,"One-family house attached",0,40,"Car, truck, or van"
"96",560000,"3-4 Apartments",3,60,"Walked"
"97",250000,"2 Apartments",3,30,"Car, truck, or van"
"98",250000,"2 Apartments",3,5,"Car, truck, or van"
"99",2e+05,"2 Apartments",3,10,"Car, truck, or van"
"100",750000,"One-family house detached",4,60,"Car, truck, or van"
"101",135000,"One-family house detached",2,45,"Car, truck, or van"
"102",135000,"One-family house detached",2,5,"Car, truck, or van"
"103",3e+05,"One-family house detached",3,15,"Car, truck, or van"
"104",1200000,"One-family house detached",4,45,"Car, truck, or van"
"105",1200000,"One-family house detached",4,40,"Bus or trolley bus"
"106",290000,"One-family house detached",3,15,"Car, truck, or van"
"107",290000,"One-family house detached",3,15,"Car, truck, or van"
"108",290000,"One-family house detached",3,40,"Car, truck, or van"
"109",325000,"2 Apartments",1,45,"Car, truck, or van"
"110",8e+05,"One-family house detached",3,40,"Car, truck, or van"
"111",8e+05,"One-family house detached",3,45,"Car, truck, or van"
"112",8e+05,"One-family house detached",3,15,"Car, truck, or van"
"113",750000,"One-family house detached",4,15,"Car, truck, or van"
"114",1e+06,"One-family house detached",5,45,"Car, truck, or van"
"115",1e+06,"One-family house detached",5,30,"Car, truck, or van"
"116",650000,"One-family house detached",4,60,"Railroad"
"117",650000,"One-family house detached",4,20,"Car, truck, or van"
"118",4e+05,"One-family house detached",3,3,"Car, truck, or van"
"119",330000,"One-family house detached",3,1,"Car, truck, or van"
"120",425000,"One-family house detached",5,5,"Car, truck, or van"
"121",425000,"One-family house detached",5,30,"Car, truck, or van"
"122",380000,"One-family house attached",4,45,"Car, truck, or van"
"123",380000,"One-family house attached",4,30,"Walked"
"124",380000,"One-family house detached",3,15,"Car, truck, or van"
"125",380000,"One-family house detached",3,15,"Car, truck, or van"
"126",380000,"One-family house detached",3,10,"Car, truck, or van"
"127",330000,"One-family house detached",3,25,"Car, truck, or van"
"128",330000,"One-family house detached",3,15,"Car, truck, or van"
"129",620000,"2 Apartments",2,30,"Car, truck, or van"
"130",620000,"2 Apartments",2,45,"Railroad"
"131",150000,"One-family house detached",4,40,"Car, truck, or van"
"132",310000,"One-family house detached",4,20,"Car, truck, or van"
"133",310000,"One-family house detached",4,25,"Car, truck, or van"
"134",562000,"20-49 Apartments",2,60,"Car, truck, or van"
"135",230000,"One-family house detached",3,15,"Car, truck, or van"
"136",3e+05,"One-family house attached",1,10,"Car, truck, or van"
"137",180000,"One-family house detached",3,60,"Car, truck, or van"
"138",2e+05,"One-family house detached",3,15,"Car, truck, or van"
"139",2e+05,"One-family house detached",3,20,"Car, truck, or van"
"140",2e+05,"One-family house detached",3,15,"Car, truck, or van"
"141",2e+05,"One-family house detached",3,45,"Car, truck, or van"
"142",2e+05,"One-family house detached",3,45,"Car, truck, or van"
"143",469000,"One-family house detached",3,30,"Car, truck, or van"
"144",469000,"One-family house detached",3,30,"Car, truck, or van"
"145",50000,"One-family house detached",4,15,"Car, truck, or van"
"146",450000,"20-49 Apartments",1,30,"Car, truck, or van"
"147",7e+05,"2 Apartments",3,30,"Car, truck, or van"
"148",7e+05,"2 Apartments",3,30,"Car, truck, or van"
"149",1200000,"One-family house detached",3,30,"Car, truck, or van"
"150",4e+05,"One-family house detached",5,30,"Car, truck, or van"
"151",4e+05,"One-family house detached",5,15,"Car, truck, or van"
"152",4e+05,"One-family house detached",5,30,"Car, truck, or van"
"153",4e+05,"One-family house detached",5,30,"Car, truck, or van"
"154",4e+05,"One-family house detached",5,5,"Car, truck, or van"
"155",425000,"One-family house detached",3,30,"Car, truck, or van"
"156",425000,"One-family house detached",3,20,"Car, truck, or van"
"157",820000,"2 Apartments",4,50,"Subway or elevated"
"158",820000,"2 Apartments",4,40,"Subway or elevated"
"159",325000,"One-family house detached",3,144,"Car, truck, or van"
"160",450000,"One-family house detached",2,45,"Bus or trolley bus"
"161",450000,"One-family house detached",2,33,"Bus or trolley bus"
"162",80000,"Mobile home or trailer",2,25,"Car, truck, or van"
"163",250000,"One-family house detached",5,10,"Car, truck, or van"
"164",250000,"One-family house detached",5,20,"Car, truck, or van"
"165",365000,"One-family house detached",4,20,"Car, truck, or van"
"166",610000,"One-family house detached",4,20,"Car, truck, or van"
"167",3e+05,"One-family house detached",3,30,"Car, truck, or van"
"168",2e+06,"One-family house detached",4,60,"Car, truck, or van"
"169",2e+06,"One-family house detached",4,45,"Car, truck, or van"
"170",450000,"One-family house detached",3,30,"Car, truck, or van"
"171",450000,"One-family house detached",3,30,"Car, truck, or van"
"172",450000,"One-family house detached",3,30,"Car, truck, or van"
"173",425000,"One-family house detached",3,25,"Car, truck, or van"
"174",425000,"One-family house detached",3,20,"Car, truck, or van"
"175",425000,"One-family house detached",3,25,"Car, truck, or van"
"176",908000,"2 Apartments",2,15,"Car, truck, or van"
"177",160000,"One-family house detached",3,10,"Car, truck, or van"
"178",2e+06,"2 Apartments",3,25,"Car, truck, or van"
"179",2e+06,"2 Apartments",3,25,"Bus or trolley bus"
"180",550000,"10-19 Apartments",2,50,"Subway or elevated"
"181",550000,"10-19 Apartments",2,45,"Car, truck, or van"
"182",750000,"2 Apartments",2,50,"Car, truck, or van"
"183",750000,"2 Apartments",2,20,"Car, truck, or van"
"184",750000,"One-family house detached",4,40,"Car, truck, or van"
"185",750000,"One-family house detached",4,45,"Car, truck, or van"
"186",350000,"One-family house detached",3,144,"Car, truck, or van"
"187",525000,"One-family house detached",2,50,"Car, truck, or van"
"188",525000,"One-family house detached",2,33,"Railroad"
"189",320000,"One-family house detached",3,30,"Car, truck, or van"
"190",232000,"One-family house detached",4,70,"Car, truck, or van"
"191",240000,"5-9 Apartments",3,144,"Car, truck, or van"
"192",240000,"5-9 Apartments",3,10,"Car, truck, or van"
"193",1800000,"5-9 Apartments",3,10,"Walked"
"194",1800000,"5-9 Apartments",3,144,"Car, truck, or van"
"195",350000,"One-family house detached",3,15,"Bus or trolley bus"
"196",350000,"One-family house detached",3,25,"Car, truck, or van"
"197",2e+05,"One-family house detached",4,15,"Car, truck, or van"
"198",150000,"One-family house attached",4,2,"Car, truck, or van"
"199",150000,"One-family house attached",4,15,"Car, truck, or van"
"200",275000,"One-family house detached",3,30,"Car, truck, or van"
"201",165000,"One-family house detached",6,50,"Car, truck, or van"
"202",420000,"One-family house detached",3,40,"Car, truck, or van"
"203",420000,"One-family house detached",3,45,"Car, truck, or van"
"204",420000,"One-family house detached",3,10,"Car, truck, or van"
"205",420000,"One-family house detached",3,20,"Car, truck, or van"
"206",5e+05,"One-family house detached",3,10,"Car, truck, or van"
"207",5e+05,"One-family house detached",3,3,"Car, truck, or van"
"208",950000,"2 Apartments",3,45,"Subway or elevated"
"209",6e+05,"One-family house detached",4,30,"Car, truck, or van"
"210",6e+05,"One-family house detached",4,25,"Car, truck, or van"
"211",225000,"One-family house detached",4,15,"Car, truck, or van"
"212",225000,"One-family house detached",4,10,"Car, truck, or van"
"213",225000,"One-family house detached",4,20,"Other method"
"214",5e+05,"One-family house detached",4,30,"Car, truck, or van"
"215",5e+05,"One-family house detached",4,5,"Car, truck, or van"
"216",450000,"One-family house detached",4,15,"Car, truck, or van"
"217",280000,"2 Apartments",2,60,"Car, truck, or van"
"218",280000,"2 Apartments",2,80,"Car, truck, or van"
"219",315000,"One-family house detached",3,30,"Car, truck, or van"
"220",315000,"One-family house detached",3,25,"Car, truck, or van"
"221",275000,"One-family house detached",2,20,"Car, truck, or van"
"222",275000,"One-family house detached",2,20,"Car, truck, or van"
"223",295000,"One-family house detached",3,144,"Bus or trolley bus"
"224",260000,"One-family house detached",4,25,"Car, truck, or van"
"225",260000,"One-family house detached",4,144,"Car, truck, or van"
"226",260000,"One-family house detached",4,50,"Car, truck, or van"
"227",250000,"One-family house detached",2,6,"Car, truck, or van"
"228",250000,"One-family house detached",2,25,"Car, truck, or van"
"229",3e+05,"One-family house detached",4,15,"Car, truck, or van"
"230",270000,"One-family house detached",2,45,"Car, truck, or van"
"231",270000,"One-family house detached",2,10,"Car, truck, or van"
"232",270000,"One-family house detached",2,15,"Car, truck, or van"
"233",6e+05,"One-family house detached",3,30,"Car, truck, or van"
"234",6e+05,"One-family house detached",3,30,"Car, truck, or van"
"235",3e+05,"One-family house detached",4,45,"Car, truck, or van"
"236",3e+05,"One-family house detached",4,60,"Car, truck, or van"
"237",3e+05,"One-family house detached",4,45,"Car, truck, or van"
"238",450000,"One-family house detached",3,10,"Bicycle"
"239",450000,"One-family house detached",3,45,"Car, truck, or van"
"240",360000,"One-family house detached",4,20,"Car, truck, or van"
"241",360000,"One-family house detached",4,25,"Car, truck, or van"
"242",220000,"50 or more apartments",2,35,"Car, truck, or van"
"243",205000,"One-family house detached",2,10,"Car, truck, or van"
"244",8e+05,"One-family house detached",3,20,"Car, truck, or van"
"245",8e+05,"One-family house detached",3,20,"Car, truck, or van"
"246",1200000,"One-family house detached",4,65,"Car, truck, or van"
"247",1200000,"One-family house detached",4,20,"Car, truck, or van"
"248",575000,"One-family house detached",4,30,"Car, truck, or van"
"249",575000,"One-family house detached",4,90,"Car, truck, or van"
"250",50000,"One-family house detached",2,30,"Car, truck, or van"
"251",50000,"One-family house detached",2,15,"Car, truck, or van"
"252",675000,"One-family house detached",3,50,"Subway or elevated"
"253",675000,"One-family house detached",3,60,"Subway or elevated"
"254",250000,"One-family house detached",2,50,"Car, truck, or van"
"255",4441000,"One-family house detached",3,5,"Car, truck, or van"
"256",4441000,"One-family house detached",3,45,"Car, truck, or van"
"257",7e+05,"One-family house detached",4,65,"Car, truck, or van"
"258",675000,"One-family house detached",4,12,"Car, truck, or van"
"259",3e+05,"One-family house detached",3,25,"Bicycle"
"260",3e+05,"One-family house detached",3,40,"Car, truck, or van"
"261",625000,"One-family house attached",2,25,"Car, truck, or van"
"262",540000,"50 or more apartments",2,25,"Car, truck, or van"
"263",540000,"50 or more apartments",2,30,"Car, truck, or van"
"264",220000,"2 Apartments",2,60,"Car, truck, or van"
"265",220000,"2 Apartments",2,30,"Car, truck, or van"
"266",185000,"One-family house detached",3,8,"Car, truck, or van"
"267",185000,"One-family house detached",3,30,"Car, truck, or van"
"268",185000,"One-family house detached",3,40,"Car, truck, or van"
"269",650000,"One-family house detached",4,60,"Car, truck, or van"
"270",925000,"One-family house detached",4,75,"Car, truck, or van"
"271",925000,"One-family house detached",4,20,"Car, truck, or van"
"272",480000,"One-family house detached",4,90,"Car, truck, or van"
"273",480000,"One-family house detached",4,50,"Car, truck, or van"
"274",4e+05,"One-family house detached",3,90,"Railroad"
"275",380000,"One-family house detached",3,40,"Car, truck, or van"
"276",380000,"One-family house detached",3,60,"Railroad"
"277",380000,"One-family house detached",3,3,"Walked"
"278",665000,"One-family house detached",4,30,"Car, truck, or van"
"279",3e+05,"One-family house detached",3,40,"Bus or trolley bus"
"280",750000,"3-4 Apartments",1,30,"Car, truck, or van"
"281",750000,"3-4 Apartments",1,20,"Car, truck, or van"
"282",750000,"3-4 Apartments",1,30,"Car, truck, or van"
"283",1600000,"20-49 Apartments",2,45,"Car, truck, or van"
"284",1600000,"20-49 Apartments",2,15,"Car, truck, or van"
"285",250000,"One-family house detached",4,10,"Car, truck, or van"
"286",250000,"One-family house detached",4,15,"Car, truck, or van"
"287",250000,"One-family house detached",4,20,"Car, truck, or van"
"288",250000,"One-family house detached",4,15,"Car, truck, or van"
"289",250000,"One-family house detached",4,10,"Car, truck, or van"
"290",5e+05,"One-family house detached",3,15,"Car, truck, or van"
"291",280000,"One-family house detached",4,10,"Car, truck, or van"
"292",280000,"One-family house detached",4,15,"Car, truck, or van"
"293",350000,"One-family house detached",3,22,"Car, truck, or van"
"294",350000,"One-family house detached",3,20,"Car, truck, or van"
"295",775000,"One-family house detached",4,30,"Car, truck, or van"
"296",775000,"One-family house detached",4,15,"Car, truck, or van"
"297",5e+05,"One-family house detached",2,7,"Car, truck, or van"
"298",4e+05,"One-family house detached",3,70,"Car, truck, or van"
"299",215000,"20-49 Apartments",2,20,"Car, truck, or van"
"300",480000,"One-family house detached",3,20,"Car, truck, or van"
"301",5e+05,"One-family house detached",4,20,"Car, truck, or van"
"302",450000,"2 Apartments",4,30,"Car, truck, or van"
"303",6e+05,"One-family house detached",4,70,"Bus or trolley bus"
"304",1100000,"One-family house detached",4,45,"Car, truck, or van"
"305",1100000,"One-family house detached",4,25,"Car, truck, or van"
"306",3e+05,"One-family house detached",3,30,"Car, truck, or van"
"307",3e+05,"One-family house detached",3,45,"Car, truck, or van"
"308",210000,"One-family house detached",4,70,"Railroad"
"309",210000,"One-family house detached",4,70,"Car, truck, or van"
"310",210000,"One-family house detached",4,60,"Car, truck, or van"
"311",210000,"One-family house detached",4,20,"Car, truck, or van"
"312",210000,"One-family house detached",4,15,"Car, truck, or van"
"313",350000,"One-family house detached",3,30,"Car, truck, or van"
"314",350000,"One-family house detached",3,30,"Car, truck, or van"
"315",105000,"One-family house attached",2,6,"Car, truck, or van"
"316",230000,"3-4 Apartments",2,40,"Car, truck, or van"
"317",450000,"One-family house detached",3,40,"Car, truck, or van"
"318",450000,"One-family house detached",3,25,"Car, truck, or van"
"319",5e+05,"One-family house detached",3,30,"Car, truck, or van"
"320",185000,"One-family house detached",3,20,"Car, truck, or van"
"321",185000,"One-family house detached",3,20,"Car, truck, or van"
"322",4e+05,"3-4 Apartments",3,45,"Car, truck, or van"
"323",4e+05,"3-4 Apartments",3,15,"Car, truck, or van"
"324",185000,"2 Apartments",2,30,"Car, truck, or van"
"325",185000,"2 Apartments",2,144,"Car, truck, or van"
"326",580000,"One-family house detached",5,90,"Car, truck, or van"
"327",580000,"One-family house detached",5,60,"Car, truck, or van"
"328",580000,"One-family house detached",5,15,"Car, truck, or van"
"329",550000,"One-family house detached",4,75,"Railroad"
"330",550000,"One-family house detached",4,30,"Car, truck, or van"
"331",2e+05,"One-family house detached",4,80,"Railroad"
"332",2e+05,"One-family house detached",4,10,"Car, truck, or van"
"333",9e+05,"One-family house detached",5,45,"Car, truck, or van"
"334",9e+05,"One-family house detached",5,30,"Car, truck, or van"
"335",5e+05,"One-family house detached",4,25,"Car, truck, or van"
"336",5e+05,"One-family house detached",4,25,"Car, truck, or van"
"337",1200000,"50 or more apartments",2,10,"Walked"
"338",1200000,"50 or more apartments",2,50,"Railroad"
"339",3e+05,"One-family house detached",4,30,"Car, truck, or van"
"340",3e+05,"One-family house detached",4,50,"Car, truck, or van"
"341",275000,"One-family house detached",3,15,"Car, truck, or van"
"342",150000,"2 Apartments",2,20,"Car, truck, or van"
"343",5e+05,"20-49 Apartments",2,25,"Walked"
"344",5e+05,"20-49 Apartments",2,50,"Car, truck, or van"
"345",6e+05,"One-family house detached",3,6,"Car, truck, or van"
"346",6e+05,"One-family house detached",3,30,"Car, truck, or van"
"347",1e+06,"One-family house detached",4,50,"Car, truck, or van"
"348",1e+06,"One-family house detached",4,30,"Car, truck, or van"
"349",890000,"One-family house detached",5,30,"Car, truck, or van"
"350",350000,"One-family house detached",5,75,"Car, truck, or van"
"351",350000,"One-family house detached",5,10,"Car, truck, or van"
"352",40000,"One-family house detached",3,30,"Car, truck, or van"
"353",350000,"10-19 Apartments",1,60,"Railroad"
"354",175000,"One-family house detached",3,90,"Car, truck, or van"
"355",175000,"One-family house detached",3,15,"Car, truck, or van"
"356",420000,"One-family house detached",3,35,"Car, truck, or van"
"357",420000,"One-family house detached",3,35,"Car, truck, or van"
"358",3e+05,"One-family house detached",3,45,"Car, truck, or van"
"359",7e+05,"One-family house detached",3,10,"Car, truck, or van"
"360",501000,"One-family house detached",2,30,"Car, truck, or van"
"361",501000,"One-family house detached",2,50,"Subway or elevated"
"362",135000,"One-family house attached",2,22,"Car, truck, or van"
"363",135000,"One-family house attached",2,17,"Car, truck, or van"
"364",275000,"One-family house detached",2,15,"Car, truck, or van"
"365",275000,"One-family house detached",2,15,"Car, truck, or van"
"366",325000,"One-family house detached",3,20,"Car, truck, or van"
"367",560000,"One-family house detached",4,75,"Railroad"
"368",240000,"One-family house detached",3,20,"Car, truck, or van"
"369",240000,"One-family house detached",3,20,"Bus or trolley bus"
"370",240000,"One-family house detached",3,10,"Walked"
"371",450000,"One-family house detached",4,15,"Car, truck, or van"
"372",450000,"One-family house detached",4,20,"Car, truck, or van"
"373",325000,"One-family house detached",3,30,"Car, truck, or van"
"374",325000,"One-family house detached",3,50,"Car, truck, or van"
"375",6e+05,"One-family house detached",3,30,"Car, truck, or van"
"376",6e+05,"One-family house detached",3,5,"Car, truck, or van"
"377",720000,"One-family house detached",3,30,"Car, truck, or van"
"378",6e+05,"One-family house detached",4,60,"Subway or elevated"
"379",6e+05,"One-family house detached",4,15,"Car, truck, or van"
"380",150000,"Mobile home or trailer",2,10,"Car, truck, or van"
"381",5e+05,"One-family house detached",3,45,"Car, truck, or van"
"382",1125000,"One-family house attached",4,10,"Other method"
"383",235000,"3-4 Apartments",3,15,"Car, truck, or van"
"384",235000,"3-4 Apartments",3,15,"Car, truck, or van"
"385",490000,"One-family house detached",5,60,"Car, truck, or van"
"386",290000,"One-family house detached",3,45,"Car, truck, or van"
"387",290000,"One-family house detached",3,15,"Car, truck, or van"
"388",660000,"One-family house detached",3,60,"Car, truck, or van"
"389",660000,"One-family house detached",3,10,"Car, truck, or van"
"390",3e+05,"One-family house detached",4,20,"Car, truck, or van"
"391",3e+05,"One-family house detached",4,20,"Car, truck, or van"
"392",310000,"One-family house detached",3,20,"Car, truck, or van"
"393",310000,"One-family house detached",3,15,"Car, truck, or van"
"394",180000,"One-family house detached",3,10,"Car, truck, or van"
"395",5e+05,"One-family house detached",4,35,"Car, truck, or van"
"396",720000,"One-family house detached",4,75,"Car, truck, or van"
"397",720000,"One-family house detached",4,35,"Car, truck, or van"
"398",250000,"One-family house detached",2,25,"Car, truck, or van"
"399",265000,"3-4 Apartments",2,60,"Railroad"
"400",265000,"3-4 Apartments",2,20,"Car, truck, or van"
"401",386000,"One-family house detached",3,60,"Subway or elevated"
"402",1e+06,"One-family house detached",4,20,"Car, truck, or van"
"403",475000,"One-family house detached",3,10,"Car, truck, or van"
"404",475000,"One-family house detached",3,35,"Car, truck, or van"
"405",5e+05,"One-family house detached",3,60,"Car, truck, or van"
"406",5e+05,"One-family house detached",3,5,"Car, truck, or van"
"407",5e+05,"One-family house detached",3,5,"Car, truck, or van"
"408",650000,"One-family house detached",4,90,"Car, truck, or van"
"409",650000,"One-family house detached",4,20,"Car, truck, or van"
"410",240000,"One-family house detached",4,5,"Car, truck, or van"
"411",240000,"One-family house detached",4,5,"Car, truck, or van"
"412",170000,"50 or more apartments",1,20,"Car, truck, or van"
"413",230000,"One-family house detached",3,5,"Car, truck, or van"
"414",230000,"One-family house detached",3,5,"Car, truck, or van"
"415",230000,"One-family house detached",3,10,"Car, truck, or van"
"416",230000,"One-family house detached",3,30,"Car, truck, or van"
"417",1200000,"3-4 Apartments",4,15,"Car, truck, or van"
"418",420000,"One-family house detached",3,30,"Car, truck, or van"
"419",3e+05,"One-family house detached",3,25,"Car, truck, or van"
"420",3e+05,"One-family house detached",3,25,"Car, truck, or van"
"421",1400000,"2 Apartments",3,20,"Car, truck, or van"
"422",235000,"One-family house detached",3,15,"Car, truck, or van"
"423",235000,"One-family house detached",3,144,"Car, truck, or van"
"424",235000,"One-family house detached",3,60,"Car, truck, or van"
"425",235000,"One-family house detached",3,30,"Car, truck, or van"
"426",850000,"One-family house detached",4,60,"Car, truck, or van"
"427",850000,"One-family house detached",4,60,"Car, truck, or van"
"428",190000,"3-4 Apartments",3,5,"Car, truck, or van"
"429",190000,"3-4 Apartments",3,5,"Car, truck, or van"
"430",550000,"One-family house detached",4,15,"Car, truck, or van"
"431",160000,"5-9 Apartments",3,40,"Car, truck, or van"
"432",2400,"2 Apartments",3,30,"Car, truck, or van"
"433",140000,"One-family house detached",3,5,"Car, truck, or van"
"434",6e+05,"2 Apartments",2,30,"Car, truck, or van"
"435",1e+06,"One-family house detached",4,45,"Car, truck, or van"
"436",650000,"One-family house detached",4,35,"Car, truck, or van"
"437",650000,"One-family house detached",4,144,"Railroad"
"438",325000,"One-family house detached",3,50,"Car, truck, or van"
"439",325000,"One-family house detached",3,10,"Car, truck, or van"
"440",650000,"2 Apartments",5,35,"Car, truck, or van"
"441",650000,"2 Apartments",5,20,"Car, truck, or van"
"442",50000,"One-family house detached",3,15,"Car, truck, or van"
"443",50000,"One-family house detached",3,20,"Car, truck, or van"
"444",425000,"One-family house detached",6,30,"Other method"
"445",425000,"One-family house detached",6,15,"Car, truck, or van"
"446",425000,"One-family house detached",6,15,"Car, truck, or van"
"447",825000,"One-family house detached",5,20,"Car, truck, or van"
"448",825000,"One-family house detached",5,30,"Car, truck, or van"
"449",180000,"One-family house detached",3,15,"Car, truck, or van"
"450",180000,"One-family house detached",3,60,"Car, truck, or van"
"451",110000,"3-4 Apartments",1,45,"Car, truck, or van"
"452",1800000,"3-4 Apartments",2,25,"Walked"
"453",1800000,"3-4 Apartments",2,15,"Walked"
"454",220000,"One-family house detached",3,5,"Car, truck, or van"
"455",450000,"One-family house detached",5,60,"Car, truck, or van"
"456",120000,"One-family house detached",3,30,"Car, truck, or van"
"457",120000,"One-family house detached",3,50,"Car, truck, or van"
"458",120000,"One-family house detached",3,90,"Other method"
"459",1200000,"One-family house detached",4,45,"Subway or elevated"
"460",1200000,"One-family house detached",4,45,"Subway or elevated"
"461",860000,"One-family house detached",4,30,"Car, truck, or van"
"462",860000,"One-family house detached",4,80,"Car, truck, or van"
"463",750000,"50 or more apartments",2,60,"Subway or elevated"
"464",5e+05,"One-family house detached",5,10,"Car, truck, or van"
"465",5e+05,"One-family house detached",5,15,"Car, truck, or van"
"466",275000,"One-family house detached",2,45,"Car, truck, or van"
"467",450000,"One-family house detached",3,20,"Car, truck, or van"
"468",450000,"One-family house detached",3,90,"Car, truck, or van"
"469",310000,"20-49 Apartments",2,25,"Walked"
"470",750000,"One-family house detached",4,70,"Car, truck, or van"
"471",1500000,"One-family house detached",5,30,"Car, truck, or van"
"472",1500000,"One-family house detached",5,30,"Car, truck, or van"
